datetime,date,hour,year,month,day_of_week,is_weekend,season,profile_type,daily_parking_count,daily_usage_minutes,avg_stay_minutes,hourly_share,estimated_entries,estimated_active_cars,estimated_active_cars_change,event_count_nearby,evening_event_count,free_event_count,event_flag_nearby,is_estimated_data,external_enrichment_level
2025-01-01 00:00:00,2025-01-01,0,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-01 01:00:00,2025-01-01,1,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-01 02:00:00,2025-01-01,2,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-01 03:00:00,2025-01-01,3,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-01 04:00:00,2025-01-01,4,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-01 05:00:00,2025-01-01,5,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-01 06:00:00,2025-01-01,6,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0077837818827156,10.702700088734051,8.820451899795357,8.820451899795357,0,0,0,False,True,hourly_estimate_base
2025-01-01 07:00:00,2025-01-01,7,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0168175698780237,23.12415858228269,19.05738989294524,10.236937993149883,0,0,0,False,True,hourly_estimate_base
2025-01-01 08:00:00,2025-01-01,8,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0317321873666931,43.631757629203136,35.95838585414728,16.90099596120204,0,0,0,False,True,hourly_estimate_base
2025-01-01 09:00:00,2025-01-01,9,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.052655734511452,72.4016349532465,59.66860075280222,23.71021489865494,0,0,0,False,True,hourly_estimate_base
2025-01-01 10:00:00,2025-01-01,10,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0774690931868284,106.52000313188913,87.7866852477609,28.11808449495868,0,0,0,False,True,hourly_estimate_base
2025-01-01 11:00:00,2025-01-01,11,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.1019038769974925,140.1178308715523,115.47577501560863,27.689089767847733,0,0,0,False,True,hourly_estimate_base
2025-01-01 12:00:00,2025-01-01,12,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.1207210890314865,165.99149741829402,136.79912607233004,21.323351056721407,0,0,0,False,True,hourly_estimate_base
2025-01-01 13:00:00,2025-01-01,13,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.1293905760623905,177.91204208578694,146.6232442842999,9.824118211969846,0,0,0,False,True,hourly_estimate_base
2025-01-01 14:00:00,2025-01-01,14,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.1256000383660615,172.70005275333455,142.32787014244815,-4.295374141851738,0,0,0,False,True,hourly_estimate_base
2025-01-01 15:00:00,2025-01-01,15,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.1101580717069006,151.46734859698833,124.82929089039798,-17.498579252050163,0,0,0,False,True,hourly_estimate_base
2025-01-01 16:00:00,2025-01-01,16,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0868957417104307,119.48164485184223,98.46880624389826,-26.360484646499728,0,0,0,False,True,hourly_estimate_base
2025-01-01 17:00:00,2025-01-01,17,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0613251795145309,84.3221218324801,69.49267133954126,-28.976134904356996,0,0,0,False,True,hourly_estimate_base
2025-01-01 18:00:00,2025-01-01,18,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0385318737750139,52.98132644064416,43.663677163949544,-25.828994175591717,0,0,0,False,True,hourly_estimate_base
2025-01-01 19:00:00,2025-01-01,19,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0214709433610318,29.522547121418818,24.330515167665297,-19.333161996284247,0,0,0,False,True,hourly_estimate_base
2025-01-01 20:00:00,2025-01-01,20,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0105805936188728,14.548316225950195,11.989752345679756,-12.34076282198554,0,0,0,False,True,hourly_estimate_base
2025-01-01 21:00:00,2025-01-01,21,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0046023378274005,6.328214512675709,5.215292520379808,-6.774459825299948,0,0,0,False,True,hourly_estimate_base
2025-01-01 22:00:00,2025-01-01,22,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.0017649821906013,2.426850512076792,2.0000484020195537,-3.2152441183602547,0,0,0,False,True,hourly_estimate_base
2025-01-01 23:00:00,2025-01-01,23,2025,1,Wednesday,False,winter,weekday_winter,1375,67991,49.448,0.000596329012073,0.8199523916004214,0.6757500976642941,-1.3242983043552596,0,0,0,False,True,hourly_estimate_base
2025-01-02 00:00:00,2025-01-02,0,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-02 01:00:00,2025-01-02,1,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-02 02:00:00,2025-01-02,2,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-02 03:00:00,2025-01-02,3,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-02 04:00:00,2025-01-02,4,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-02 05:00:00,2025-01-02,5,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0,0.0,0.0,0.0,0,0,0,False,True,hourly_estimate_base
2025-01-02 06:00:00,2025-01-02,6,2025,1,Thursday,False,winter,weekday_winter,1234,29480,23.889789303079414,0.0077837818827156,9.60518684327114,3.824431498374301,3.824431498374301,0,0,0,False,True,hourly_estimate_base
