removed_feature,alpha,rmse,mae,r2,delta_rmse,delta_mae,delta_r2
snowfall,100.0,55.094054218985896,27.939420976046147,0.7653689051158311,-0.09416473564319716,-0.035126705319772356,0.000802731127435452
precipitation,100.0,55.16624931109881,27.966806172391827,0.7647535823810413,-0.021969643530283633,-0.007741508974092426,0.00018740839264563824
cloud_cover,100.0,55.18655091052714,27.967681015345345,0.7645804055790322,-0.0016680441019545356,-0.006866666020574286,1.4231590636515357e-05
wind_direction_10m,100.0,55.192448576641965,27.977966913932647,0.7645300853350268,0.004229622012871914,0.0034192325667277146,-3.608865336890421e-05
wind_gusts_10m,100.0,55.406865083601254,28.131728774848956,0.7626969828269095,0.21864612897216062,0.157181093483036,-0.0018691911614862056
weather_code,100.0,55.468573900302175,28.094176873493602,0.7621681009638182,0.28035494567308206,0.11962919212768242,-0.0023980730245775073
relative_humidity_2m,100.0,55.5912717586104,28.221795844366063,0.7611147571456538,0.4030528039813035,0.24724816300014396,-0.0034514168427418612
temperature_2m,100.0,55.75933744538188,28.2036079630847,0.7596681594965666,0.571118490752788,0.22906028171878035,-0.004898014491829028
