model_name,alpha,rmse,mae,r2
weighted_core,0.001,54.9570952238228,29.365773640562452,0.7407423857685078
weighted_core,0.01,54.957090602205575,29.365768583800683,0.7407424293730469
weighted_core,0.1,54.95704438828514,29.36571801673095,0.7407428653969912
weighted_core,1.0,54.95658247421411,29.365212701146653,0.7407472234921745
weighted_core,10.0,54.95198580216868,29.360183862479825,0.7407905904592895
weighted_core,100.0,54.908104201435975,29.311078374609608,0.7412044056151381
weighted_core,1000.0,54.643714855888916,28.926754075699556,0.7436906712287531
weighted_extended,0.001,51.08398322347374,28.35879232806815,0.7759971790239075
weighted_extended,0.01,51.08395877960762,28.358778767810975,0.7759973933961357
weighted_extended,0.1,51.08371439558498,28.358643183470548,0.7759995366336
weighted_extended,1.0,51.081276010624045,28.35729224313187,0.7760209206042716
weighted_extended,10.0,51.05742422543646,28.344187522849953,0.7762300404244458
weighted_extended,100.0,50.863097750422554,28.258821231312318,0.7779301526582436
weighted_extended,1000.0,50.65550310057166,28.60894567464786,0.779739182623515
