model_name,feature,alpha,coefficient,importance_abs,importance_ratio
weighted_core,pattern_prior,1000.0,0.9740121194497303,0.9740121194497303,0.00966623459162665
weighted_core,month_weight,1000.0,34.07887255662856,34.07887255662856,0.33820357074881396
weighted_core,hour_weight,1000.0,65.30413901670049,65.30413901670049,0.6480875493584708
weighted_core,day_type_offday,1000.0,-0.40735464058649734,0.40735464058649734,0.004042645301088643
weighted_extended,pattern_prior,1000.0,0.9614154780840093,0.9614154780840093,0.003649052571474229
weighted_extended,month_weight,1000.0,37.44944843601793,37.44944843601793,0.14213938638483387
weighted_extended,hour_weight,1000.0,62.83031191547293,62.83031191547293,0.23847245700536818
weighted_extended,day_type_offday,1000.0,2.827684816634177,2.827684816634177,0.010732478087435106
weighted_extended,hour_sin,1000.0,6.451029892740282,6.451029892740282,0.0244848847926537
weighted_extended,hour_cos,1000.0,9.899376728506668,9.899376728506668,0.03757308565401826
weighted_extended,month_sin,1000.0,3.3101115831291605,3.3101115831291605,0.012563528942092445
weighted_extended,month_cos,1000.0,12.778401497039901,12.778401497039901,0.048500424535529586
weighted_extended,is_holiday,1000.0,-18.835711163777855,18.835711163777855,0.07149094415944438
weighted_extended,bus_alightings,1000.0,-3.594182534573452e-05,3.594182534573452e-05,1.3641720275057799e-07
weighted_extended,subway_boardings,1000.0,4.109680920886845e-05,4.109680920886845e-05,1.559829446701535e-07
weighted_extended,subway_alightings,1000.0,-2.476136141402741e-05,2.476136141402741e-05,9.398175045104083e-08
weighted_extended,bike_rental_minutes_sum,1000.0,0.000843404754635534,0.000843404754635534,3.2011428553550507e-06
weighted_extended,event_count,1000.0,0.0,0.0,0.0
weighted_extended,free_event_count,1000.0,0.0,0.0,0.0
weighted_extended,paid_event_count,1000.0,0.0,0.0,0.0
weighted_extended,evening_event_count,1000.0,0.0,0.0,0.0
weighted_extended,bus_feature_available,1000.0,0.8260414208096356,0.8260414208096356,0.003135240319572052
weighted_extended,subway_feature_available,1000.0,-1.605373299255163,1.605373299255163,0.006093194565056955
weighted_extended,bike_feature_available,1000.0,-0.2962207926619175,0.2962207926619175,0.0011243060568790345
weighted_extended,culture_feature_available,1000.0,0.0,0.0,0.0
weighted_extended,temperature_2m,1000.0,0.8833173487301481,0.8833173487301481,0.003352631111405815
weighted_extended,relative_humidity_2m,1000.0,-0.3020926643178366,0.3020926643178366,0.001146592746508891
weighted_extended,precipitation,1000.0,-1.2247504788578971,1.2247504788578971,0.004648540600986853
weighted_extended,snowfall,1000.0,29.770755427159134,29.770755427159134,0.11299490607609375
weighted_extended,snow_depth,1000.0,-72.33988271768396,72.33988271768396,0.27456603421569076
weighted_extended,weather_code,1000.0,-0.15781004350675382,0.15781004350675382,0.0005989680405503739
weighted_extended,pressure_msl,1000.0,-0.11217794425767233,0.11217794425767233,0.000425771401945729
weighted_extended,cloud_cover,1000.0,0.040367773543689436,0.040367773543689436,0.00015321588970862993
weighted_extended,cloud_cover_low,1000.0,-0.07740368998832033,0.07740368998832033,0.0002937857153666436
weighted_extended,cloud_cover_mid,1000.0,-0.02754846707253125,0.02754846707253125,0.00010456021033854133
weighted_extended,cloud_cover_high,1000.0,-0.009950722671014357,0.009950722671014357,3.776796918545032e-05
weighted_extended,wind_gusts_10m,1000.0,-0.3663482060727808,0.3663482060727808,0.001390474663554396
weighted_extended,wind_direction_10m,1000.0,-0.007668046327427582,0.007668046327427582,2.9104070827990274e-05
weighted_extended,shortwave_radiation,1000.0,0.02854658211195761,0.02854658211195761,0.00010834855609983935
weighted_extended,diffuse_radiation,1000.0,-0.046889811935570944,0.046889811935570944,0.0001779702872689626
weighted_extended,sunshine_duration,1000.0,0.002307428549043081,0.002307428549043081,8.757845356472368e-06
weighted_extended,weather_feature_available,1000.0,0.0,0.0,0.0
