model_name,split,rmse,mae,r2
weather_only_extended_final,valid,217.43590028812892,202.3482407309714,-9.946847049794291
weather_only_extended_final,test,290.7433085014114,256.81972006429856,-3.126089862664757
hybrid_segmented_model,valid,188.59596912080997,159.70005322820114,-7.235526345593806
hybrid_segmented_model,test,220.4371913175113,180.1144399146671,-1.3718595229287875
