model_name,rmse_high_value,mae_high_value,r2_high_value,rmse_overall,mae_overall,r2_overall,high_value_count
weather_only_extended_final,361.9711893370112,334.14359175471975,-5.195758786235648,55.07471014650259,27.929813279787957,0.7655336388307662,66
weather_only_peak_weighted,324.4082925509789,293.0182970038384,-3.976573082651533,58.17703514318072,31.20541980137584,0.7383749812984413,66
