datetime,date,hour,year,month,day,day_of_week,is_weekend,season,daily_parking_count,daily_usage_minutes,avg_stay_minutes,hourly_share,estimated_entries,estimated_active_cars,estimated_active_cars_change,holiday_table_is_weekend,holiday_name,is_holiday,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,bus_boardings,bus_alightings,subway_boardings,subway_alightings,bike_rentals,bike_rental_minutes_sum,bike_rental_distance_m_sum,bike_returns,event_count,free_event_count,paid_event_count,evening_event_count,nearby_public_parking_sites,nearby_public_parking_capacity_sum,nearby_kickboard_zone_count,nearby_kickboard_stand_count,bus_feature_available,subway_feature_available,bike_feature_available,culture_feature_available,weather_code_label,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration,weather_feature_available,day_type,split,hour_sin,hour_cos,month_sin,month_cos,outlier_candidate,comparison_anchor,gap_from_anchor,outlier_class
2024-06-06 12:00:00,2024-06-06,12,2024,6,6,Thursday,False,summer,2869,276505,96.37678633670268,0.0751590877463387,215.63142274424573,315.25053842789896,80.52991189312536,False,현충일,True,False,True,False,117789.0,111354.0,243753.0,356376.0,566.0,19102.0,2005765.63,498.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,True,False,흐림,27.4,42,13.4,29.9,0.0,0.0,0.0,0.0,3,1017.4,1013.6,97,0,4,97,1.9,202,18.7,796.0,514.0,282.0,3600.0,1,offday,valid,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,True,314.837461359184,0.4130770687149834,special_case
2023-03-25 14:00:00,2023-03-25,14,2023,3,25,Saturday,True,spring,2492,201343,80.79574638844302,0.0977777335148833,243.6621119190893,315.3121574829134,51.77430840369988,True,,False,False,True,True,119986.0,114041.0,266347.0,344525.0,845.0,32536.0,3504762.62,751.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,True,False,흐림,17.2,39,3.2,14.4,0.0,0.0,0.0,0.0,3,1017.7,1013.8,99,95,41,86,9.2,231,22.3,560.0,260.0,300.0,3600.0,1,offday,train,-0.4999999999999998,-0.8660254037844388,1.0,6.123233995736766e-17,True,315.25053842789896,0.06161905501443243,special_case
2022-05-06 15:00:00,2022-05-06,15,2022,5,6,Friday,False,spring,2203,160681,72.93735814798002,0.1173799620909657,258.5880564863976,315.35068919768236,-1.000065576252041,False,,False,False,False,False,,,285323.0,338698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,False,True,False,False,부분적으로 흐림,23.5,49,12.1,22.1,0.0,0.0,0.0,0.0,2,1015.6,1011.7,67,1,13,67,16.2,258,32.4,606.0,327.0,279.0,3600.0,1,weekday,train,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,-0.8660254037844387,True,315.3121574829134,0.038531714768964775,special_case
2024-03-23 18:00:00,2024-03-23,18,2024,3,23,Saturday,True,spring,2364,195639,82.75761421319797,0.093388398805632,220.77017477651415,315.5145621574734,-33.504329858556105,True,,False,False,True,True,221746.0,211929.0,707570.0,699700.0,863.0,29113.0,3372075.11,976.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,True,False,부분적으로 흐림,14.4,56,5.8,12.4,0.0,0.0,0.0,0.0,2,1015.9,1011.9,50,0,0,50,6.5,360,17.6,171.0,97.0,74.0,3600.0,1,offday,valid,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,True,315.35068919768236,0.16387295979103556,special_case
2022-05-28 11:00:00,2022-05-28,11,2022,5,28,Saturday,True,spring,6869,389759,56.74173824428592,0.0486258337916605,334.01085231491624,315.87260588006365,99.14538398035523,True,,False,False,True,True,,,179817.0,291051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,False,True,False,False,흐림,24.1,52,13.6,24.4,0.0,0.0,0.0,0.0,3,1005.7,1001.9,100,0,2,100,13.6,202,28.8,744.0,493.0,251.0,3600.0,1,offday,train,0.258819045102521,-0.9659258262890682,0.49999999999999994,-0.8660254037844387,True,315.5145621574734,0.35804372259025286,special_case
2025-11-16 16:00:00,2025-11-16,16,2025,11,16,Sunday,True,fall,1760,169624,96.37727272727273,0.1113266708276356,195.9349406566388,315.95432877863186,5.5748278577166275,True,,False,False,True,True,168293.0,169653.0,444738.0,458811.0,0.0,0.0,0.0,0.0,16.0,14.0,2.0,11.0,4,52.0,22,0,True,True,False,True,부분적으로 흐림,15.1,62,7.8,12.6,0.0,0.0,0.0,0.0,2,1023.7,1019.7,56,56,0,0,13.1,241,28.1,242.0,157.0,85.0,3600.0,1,offday,test,-0.8660254037844384,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,True,315.87260588006365,0.08172289856821635,special_case
2023-10-15 20:00:00,2023-10-15,20,2023,10,15,Sunday,True,fall,3994,350827,87.83850776164246,0.0479786878750003,191.62687937275132,315.97761565222834,-111.78399841884846,True,,False,False,True,True,112499.0,111369.0,387644.0,282420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,False,False,맑음,15.6,86,13.2,15.0,0.0,0.0,0.0,0.0,0,1011.4,1007.5,1,1,0,0,11.2,266,20.5,0.0,0.0,0.0,0.0,1,offday,train,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,True,315.95432877863186,0.023286873596475743,special_case
2023-07-02 20:00:00,2023-07-02,20,2023,7,2,Sunday,True,summer,2178,228384,104.8595041322314,0.0768858847850752,167.4574570618938,316.03603128232044,-47.25429761398311,True,,False,False,True,True,113284.0,114156.0,386335.0,268966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,False,False,흐림,24.5,90,22.7,29.0,0.0,0.0,0.0,0.0,3,1007.8,1004.0,95,3,47,95,5.8,300,19.4,20.0,2.0,18.0,0.0,1,offday,train,-0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,True,315.97761565222834,0.05841563009209949,special_case
2025-05-17 15:00:00,2025-05-17,15,2025,5,17,Saturday,True,spring,2229,180371,80.9201435621355,0.1077131147753142,240.09253283417553,316.083757693051,33.665559819655925,True,,False,False,True,True,145162.0,145607.0,361252.0,431423.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,4.0,4,52.0,22,0,True,True,False,True,흐림,20.4,76,16.0,19.8,0.0,0.0,0.0,0.0,3,1004.4,1000.6,100,3,100,7,18.1,232,40.0,351.0,44.0,307.0,0.0,1,offday,test,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,-0.8660254037844387,True,316.03603128232044,0.047726410730547286,special_case
2022-10-29 17:00:00,2022-10-29,17,2022,10,29,Saturday,True,fall,2363,182318,77.15531104528142,0.1019646238147499,240.94240607425405,316.1584157744323,-22.89904074890785,True,,False,False,True,True,,,504403.0,483441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,False,True,False,False,흐림,15.9,58,7.6,14.2,0.0,0.0,0.0,0.0,3,1025.0,1021.0,100,0,0,100,7.1,75,17.6,124.0,50.0,74.0,3600.0,1,offday,train,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,True,316.083757693051,0.07465808138130114,special_case
