weight_type,key,value
month_weight,1,0.5816798693254983
month_weight,2,0.6506238222515319
month_weight,3,0.8874111343576582
month_weight,4,1.182619962941507
month_weight,5,1.3132001759814045
month_weight,6,1.2687924098205106
month_weight,7,1.0716242276977397
month_weight,8,1.097216778774661
month_weight,9,1.2763647916167382
month_weight,10,1.110979921067127
month_weight,11,0.8763199880802124
month_weight,12,0.6831669180854139
hour_weight,6,0.8231847727504107
hour_weight,7,0.8026774700619084
hour_weight,8,0.7310478142939538
hour_weight,9,0.8297455432072676
hour_weight,10,0.9646273148151341
hour_weight,11,1.1022527805826885
hour_weight,12,1.221427150042359
hour_weight,13,1.30630440976609
hour_weight,14,1.345727776380019
hour_weight,15,1.3339590907562116
hour_weight,16,1.272021924401233
hour_weight,17,1.1684236295811632
hour_weight,18,1.0380219419217136
hour_weight,19,0.8991326343299328
hour_weight,20,0.7706622412428228
hour_weight,21,0.6727698987204959
hour_weight,22,0.6444029659210352
hour_weight,23,1.0736106412255613
