model_name,alpha,split,rmse,mae,r2
weighted_core,1000.0,train,53.057230223820646,27.490890194678382,0.7834831734422358
weighted_core,1000.0,valid,54.22063142864307,28.75427833227968,0.7441875147604913
weighted_core,1000.0,test,59.606480523031884,30.051969779167038,0.7253604605059669
weighted_extended,1000.0,train,50.290676024575205,26.029192288405532,0.8054740919652207
weighted_extended,1000.0,valid,50.34959277361478,28.3570379967563,0.7794106607202617
weighted_extended,1000.0,test,56.55830948743716,28.0492943923476,0.7527314152601912
