datetime,hour,estimated_entries,estimated_active_cars_change,estimated_exits,estimated_active_cars,avg_stay_minutes
2025-01-04 00:00:00,0,0.0,0.0,0.0,0.0,54.249063670411985
2025-01-04 01:00:00,1,0.0,0.0,0.0,0.0,54.249063670411985
2025-01-04 02:00:00,2,0.0,0.0,0.0,0.0,54.249063670411985
2025-01-04 03:00:00,3,0.0,0.0,0.0,0.0,54.249063670411985
2025-01-04 04:00:00,4,0.0,0.0,0.0,0.0,54.249063670411985
2025-01-04 05:00:00,5,0.0,0.0,0.0,0.0,54.249063670411985
2025-01-04 06:00:00,6,4.336138437131478,3.920524169327771,0.4156142678037069,3.920524169327771,54.249063670411985
2025-01-04 07:00:00,7,9.761489357758215,4.90533679212347,4.856152565634745,8.82586096145124,54.249063670411985
2025-01-04 08:00:00,8,19.494235335299916,8.799872603726762,10.694362731573154,17.625733565178002,54.249063670411985
2025-01-04 09:00:00,9,34.69211353101896,13.741177698245476,20.950935832773485,31.36691126342348,54.249063670411985
2025-01-04 10:00:00,10,55.30232787703077,18.63474717196055,36.66758070507022,50.00165843538403,54.249063670411985
2025-01-04 11:00:00,11,79.40402830149769,21.791578014868364,57.612450286629326,71.7932364502524,54.249063670411985
2025-01-04 12:00:00,12,103.23171079770076,21.54382441424802,81.68788638345274,93.33706086450042,54.249063670411985
2025-01-04 13:00:00,13,122.0400555614364,17.00558487704923,105.03447068438717,110.34264574154965,54.249063670411985
2025-01-04 14:00:00,14,131.53090038527938,8.581157418910976,122.9497429663684,118.92380316046062,54.249063670411985
2025-01-04 15:00:00,15,129.31093367491448,-2.007185256946343,131.31811893186082,116.91661790351428,54.249063670411985
2025-01-04 16:00:00,16,115.81644139937002,-12.201059510931572,128.01750091030158,104.71555839258272,54.249063670411985
2025-01-04 17:00:00,17,94.25897481259145,-19.491206290648833,113.75018110324028,85.22435210193387,54.249063670411985
2025-01-04 18:00:00,18,69.49213956154605,-22.392960374142753,91.8850999356888,62.83139172779112,54.249063670411985
2025-01-04 19:00:00,19,46.26669432780253,-20.999310954316982,67.26600528211952,41.83208077347414,54.249063670411985
2025-01-04 20:00:00,20,27.743483163934965,-16.747781030152293,44.49126419408726,25.084299743321846,54.249063670411985
2025-01-04 21:00:00,21,14.952012778263038,-11.565421523175097,26.517434301438136,13.518878220146751,54.249063670411985
2025-01-04 22:00:00,22,7.231276364930893,-6.980712021155396,14.21198838608629,6.538166198991355,54.249063670411985
2025-01-04 23:00:00,23,3.1350443324931465,-3.703612538941606,6.838656871434752,2.834553660049749,54.249063670411985
