model_name,split,rmse,mae,r2
weather_only_extended_final,valid,50.72133382730662,27.529707225984986,0.7761413261403218
weather_only_extended_final,test,55.07471014650259,27.929813279787957,0.7655336388307662
hybrid_segmented_model,valid,55.62017849905085,28.38388574914854,0.7308109735682778
hybrid_segmented_model,test,52.14542570547022,27.255651162189103,0.7898116999856004
