datetime,hour,estimated_entries,estimated_active_cars_change,estimated_exits,estimated_active_cars,avg_stay_minutes
2025-09-27 00:00:00,0,0.0,0.0,0.0,0.0,118.72821350762528
2025-09-27 01:00:00,1,0.0,0.0,0.0,0.0,118.72821350762528
2025-09-27 02:00:00,2,0.0,0.0,0.0,0.0,118.72821350762528
2025-09-27 03:00:00,3,0.0,0.0,0.0,0.0,118.72821350762528
2025-09-27 04:00:00,4,0.0,0.0,0.0,0.0,118.72821350762528
2025-09-27 05:00:00,5,0.0,0.0,0.0,0.0,118.72821350762528
2025-09-27 06:00:00,6,19.189401518438327,19.189401518438327,0.0,19.189401518438327,118.72821350762528
2025-09-27 07:00:00,7,40.166641498333846,39.75989447086876,0.4067470274650873,58.94929598930709,118.72821350762528
2025-09-27 08:00:00,8,76.28133047712637,56.64728611779248,19.634044359333892,115.59658210709956,118.72821350762528
2025-09-27 09:00:00,9,131.93679689460348,91.0046525026106,40.93214439199288,206.60123460971016,118.72821350762528
2025-09-27 10:00:00,10,208.7123354411943,131.2513071237919,77.46102831740242,337.85254173350205,118.72821350762528
2025-09-27 11:00:00,11,303.30097260586524,169.73680749678925,133.564165109076,507.5893492302913,118.72821350762528
2025-09-27 12:00:00,12,406.5658428143741,195.8485648552104,210.71727795916368,703.4379140855017,118.72821350762528
2025-09-27 13:00:00,13,504.38202072399486,198.8922003336627,305.48982039033217,902.3301144191644,118.72821350762528
2025-09-27 14:00:00,14,580.3001715178273,171.66097380676706,408.6391977110602,1073.9910882259314,118.72821350762528
2025-09-27 15:00:00,15,619.5177962413513,113.526580872262,505.99121536908933,1187.5176690981934,118.72821350762528
2025-09-27 16:00:00,16,613.1873029186173,32.05585731101655,581.1314456076008,1219.57352640921,118.72821350762528
2025-09-27 17:00:00,17,561.6211479716425,-57.762464338076825,619.3836123097193,1161.8110620711332,118.72821350762528
2025-09-27 18:00:00,18,474.8232325834125,-137.27105134645035,612.0942839298629,1024.5400107246828,118.72821350762528
2025-09-27 19:00:00,19,369.6064407317542,-190.17490030060435,559.7813410323586,834.3651104240785,118.72821350762528
2025-09-27 20:00:00,20,264.2666128155018,-208.32639819044493,472.5930110059467,626.0387122336335,118.72821350762528
2025-09-27 21:00:00,21,173.21522945891286,-194.1583817686252,367.37361122753805,431.88033046500834,118.72821350762528
2025-09-27 22:00:00,22,103.92168672116424,-158.41496076992183,262.33664749108607,273.4653696950865,118.72821350762528
2025-09-27 23:00:00,23,57.00503706588515,-114.7414158653167,171.74645293120184,158.7239538297698,118.72821350762528
