datetime,date,hour,year,month,day,weather_code_label,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration
2022-01-01T00:00,2022-01-01,0,2022,1,1,대체로 맑음,-9.1,51,-17.3,-13.6,0.0,0.0,0.0,0.0,1,1033.6,1029.2,32,0,0,32,,5.5,337,12.2,0.0,0.0,0.0,0.0
2022-01-01T01:00,2022-01-01,1,2022,1,1,부분적으로 흐림,-9.2,52,-17.2,-13.7,0.0,0.0,0.0,0.0,2,1033.5,1029.1,62,0,0,62,,5.3,332,8.3,0.0,0.0,0.0,0.0
2022-01-01T02:00,2022-01-01,2,2022,1,1,흐림,-9.1,52,-17.1,-13.2,0.0,0.0,0.0,0.0,3,1033.4,1029.0,89,0,0,89,,2.2,180,6.8,0.0,0.0,0.0,0.0
2022-01-01T03:00,2022-01-01,3,2022,1,1,흐림,-9.1,53,-17.0,-13.0,0.0,0.0,0.0,0.0,3,1033.8,1029.4,92,0,0,92,,1.4,180,3.2,0.0,0.0,0.0,0.0
2022-01-01T04:00,2022-01-01,4,2022,1,1,흐림,-9.1,53,-16.9,-13.2,0.0,0.0,0.0,0.0,3,1033.5,1029.1,94,0,0,94,,2.5,188,4.0,0.0,0.0,0.0,0.0
2022-01-01T05:00,2022-01-01,5,2022,1,1,흐림,-9.1,53,-16.9,-13.1,0.0,0.0,0.0,0.0,3,1033.0,1028.6,98,0,0,98,,2.6,146,4.0,0.0,0.0,0.0,0.0
2022-01-01T06:00,2022-01-01,6,2022,1,1,부분적으로 흐림,-8.9,52,-16.9,-13.0,0.0,0.0,0.0,0.0,2,1032.5,1028.1,75,0,0,75,,2.9,90,4.3,0.0,0.0,0.0,0.0
2022-01-01T07:00,2022-01-01,7,2022,1,1,맑음,-8.9,51,-17.0,-13.1,0.0,0.0,0.0,0.0,0,1032.4,1028.0,0,0,0,0,,3.8,131,6.1,0.0,0.0,0.0,0.0
2022-01-01T08:00,2022-01-01,8,2022,1,1,맑음,-8.9,51,-17.3,-13.4,0.0,0.0,0.0,0.0,0,1032.8,1028.4,2,0,0,2,,5.2,146,8.3,1.0,0.0,1.0,0.0
2022-01-01T09:00,2022-01-01,9,2022,1,1,맑음,-9.6,60,-16.0,-14.6,0.0,0.0,0.0,0.0,0,1033.9,1029.5,15,0,0,2,,8.6,90,12.2,71.0,34.0,37.0,3600.0
2022-01-01T10:00,2022-01-01,10,2022,1,1,맑음,-6.8,45,-16.8,-11.4,0.0,0.0,0.0,0.0,0,1034.0,1029.6,8,4,5,0,,6.5,93,16.9,220.0,145.0,75.0,3600.0
2022-01-01T11:00,2022-01-01,11,2022,1,1,맑음,-4.3,37,-16.9,-8.6,0.0,0.0,0.0,0.0,0,1033.9,1029.6,4,4,0,0,,4.3,85,16.6,352.0,254.0,98.0,3600.0
2022-01-01T12:00,2022-01-01,12,2022,1,1,맑음,-2.3,34,-16.0,-6.3,0.0,0.0,0.0,0.0,0,1033.0,1028.7,0,0,0,0,,2.5,82,15.8,445.0,335.0,110.0,3600.0
2022-01-01T13:00,2022-01-01,13,2022,1,1,맑음,-0.9,34,-14.9,-4.6,0.0,0.0,0.0,0.0,0,1031.6,1027.3,0,0,0,0,,1.0,225,13.7,484.0,375.0,109.0,3600.0
2022-01-01T14:00,2022-01-01,14,2022,1,1,맑음,0.1,34,-13.9,-3.9,0.0,0.0,0.0,0.0,0,1030.4,1026.2,0,0,0,0,,3.0,256,13.3,459.0,353.0,106.0,3600.0
2022-01-01T15:00,2022-01-01,15,2022,1,1,맑음,0.4,35,-13.4,-3.5,0.0,0.0,0.0,0.0,0,1029.6,1025.4,0,0,0,0,,3.4,288,13.7,378.0,282.0,96.0,3600.0
2022-01-01T16:00,2022-01-01,16,2022,1,1,맑음,0.2,36,-13.1,-4.1,0.0,0.0,0.0,0.0,0,1029.5,1025.3,0,0,0,0,,5.2,282,12.6,249.0,170.0,79.0,3600.0
2022-01-01T17:00,2022-01-01,17,2022,1,1,맑음,-3.0,49,-12.2,-7.5,0.0,0.0,0.0,0.0,0,1029.5,1025.2,0,0,0,0,,8.0,260,11.5,98.0,53.0,45.0,3600.0
2022-01-01T18:00,2022-01-01,18,2022,1,1,맑음,-5.1,65,-10.7,-9.7,0.0,0.0,0.0,0.0,0,1029.5,1025.2,0,0,0,0,,9.4,247,11.5,5.0,1.0,4.0,0.0
2022-01-01T19:00,2022-01-01,19,2022,1,1,맑음,-4.9,72,-9.3,-9.3,0.0,0.0,0.0,0.0,0,1029.4,1025.1,0,0,0,0,,7.9,267,11.5,0.0,0.0,0.0,0.0
2022-01-01T20:00,2022-01-01,20,2022,1,1,부분적으로 흐림,-4.2,70,-8.9,-8.0,0.0,0.0,0.0,0.0,2,1029.4,1025.1,77,0,77,0,,5.0,291,9.7,0.0,0.0,0.0,0.0
2022-01-01T21:00,2022-01-01,21,2022,1,1,흐림,-6.1,72,-10.4,-10.3,0.0,0.0,0.0,0.0,3,1029.2,1024.9,96,7,99,0,,6.6,119,5.8,0.0,0.0,0.0,0.0
2022-01-01T22:00,2022-01-01,22,2022,1,1,흐림,-4.0,57,-11.1,-8.8,0.0,0.0,0.0,0.0,3,1028.8,1024.5,100,8,100,0,,10.5,121,16.9,0.0,0.0,0.0,0.0
2022-01-01T23:00,2022-01-01,23,2022,1,1,흐림,-3.5,54,-11.6,-8.4,0.0,0.0,0.0,0.0,3,1028.3,1024.0,98,1,98,0,,10.8,127,17.3,0.0,0.0,0.0,0.0
2022-01-02T00:00,2022-01-02,0,2022,1,2,흐림,-3.5,54,-11.5,-8.2,0.0,0.0,0.0,0.0,3,1027.9,1023.6,99,70,96,0,,8.7,132,17.3,0.0,0.0,0.0,0.0
2022-01-02T01:00,2022-01-02,1,2022,1,2,흐림,-3.2,54,-11.2,-8.0,0.0,0.0,0.0,0.0,3,1027.0,1022.7,89,6,89,0,,9.6,146,15.1,0.0,0.0,0.0,0.0
2022-01-02T02:00,2022-01-02,2,2022,1,2,흐림,-3.5,55,-11.2,-8.1,0.0,0.0,0.0,0.0,3,1026.9,1022.6,98,98,19,0,,8.7,156,15.5,0.0,0.0,0.0,0.0
2022-01-02T03:00,2022-01-02,3,2022,1,2,흐림,-2.3,50,-11.2,-7.6,0.0,0.0,0.0,0.0,3,1026.3,1022.0,100,100,48,0,,13.1,159,20.5,0.0,0.0,0.0,0.0
2022-01-02T04:00,2022-01-02,4,2022,1,2,흐림,-1.7,52,-10.4,-7.1,0.0,0.0,0.0,0.0,3,1025.2,1021.0,100,100,100,0,,14.8,167,23.4,0.0,0.0,0.0,0.0
2022-01-02T05:00,2022-01-02,5,2022,1,2,약한 눈,-1.1,59,-8.1,-6.1,0.2,0.0,0.14,0.0,71,1024.4,1020.2,100,100,100,0,,12.6,177,23.4,0.0,0.0,0.0,0.0
