datetime,date,hour,year,month,day,weather_code_label,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration
2025-01-01T00:00,2025-01-01,0,2025,1,1,맑음,-3.3,71,-7.9,-6.5,0.0,0.0,0.0,0.0,0,1023.8,1019.5,0,0,0,0,,0.9,101,2.5,0.0,0.0,0.0,0.0
2025-01-01T01:00,2025-01-01,1,2025,1,1,맑음,-3.2,72,-7.6,-6.5,0.0,0.0,0.0,0.0,0,1023.7,1019.4,1,1,0,0,,1.1,108,3.6,0.0,0.0,0.0,0.0
2025-01-01T02:00,2025-01-01,2,2025,1,1,맑음,-3.2,76,-6.8,-7.0,0.0,0.0,0.0,0.0,0,1023.3,1019.0,5,5,1,0,,5.4,94,10.1,0.0,0.0,0.0,0.0
2025-01-01T03:00,2025-01-01,3,2025,1,1,맑음,-2.8,71,-7.4,-6.9,0.0,0.0,0.0,0.0,0,1022.8,1018.5,19,19,0,0,,7.3,110,14.0,0.0,0.0,0.0,0.0
2025-01-01T04:00,2025-01-01,4,2025,1,1,부분적으로 흐림,-2.1,69,-7.0,-5.9,0.0,0.0,0.0,0.0,2,1022.2,1018.0,51,51,0,0,,5.9,137,14.0,0.0,0.0,0.0,0.0
2025-01-01T05:00,2025-01-01,5,2025,1,1,부분적으로 흐림,-1.0,66,-6.7,-5.2,0.0,0.0,0.0,0.0,2,1022.0,1017.8,74,74,0,0,,8.5,180,15.1,0.0,0.0,0.0,0.0
2025-01-01T06:00,2025-01-01,6,2025,1,1,부분적으로 흐림,-0.8,68,-5.9,-5.1,0.0,0.0,0.0,0.0,2,1022.1,1017.9,74,74,5,0,,9.9,190,18.7,0.0,0.0,0.0,0.0
2025-01-01T07:00,2025-01-01,7,2025,1,1,흐림,-0.6,71,-5.2,-5.0,0.0,0.0,0.0,0.0,3,1022.2,1018.0,94,94,27,0,,10.3,193,19.8,0.0,0.0,0.0,0.0
2025-01-01T08:00,2025-01-01,8,2025,1,1,흐림,-0.2,72,-4.6,-4.4,0.0,0.0,0.0,0.0,3,1022.4,1018.2,80,80,7,0,,10.2,190,19.8,1.0,0.0,1.0,0.0
2025-01-01T09:00,2025-01-01,9,2025,1,1,대체로 맑음,1.4,69,-3.7,-2.7,0.0,0.0,0.0,0.0,1,1022.4,1018.2,49,49,0,0,,9.9,192,19.4,52.0,14.0,38.0,2062.85
2025-01-01T10:00,2025-01-01,10,2025,1,1,흐림,0.8,59,-6.3,-2.8,0.0,0.0,0.0,0.0,3,1023.6,1019.4,94,94,0,0,,4.1,119,12.6,138.0,28.0,110.0,1400.69
2025-01-01T11:00,2025-01-01,11,2025,1,1,맑음,3.1,55,-5.0,-0.2,0.0,0.0,0.0,0.0,0,1023.7,1019.5,4,4,0,0,,3.9,158,13.0,238.0,60.0,178.0,2911.06
2025-01-01T12:00,2025-01-01,12,2025,1,1,맑음,5.6,54,-3.0,2.5,0.0,0.0,0.0,0.0,0,1023.1,1019.0,2,2,0,0,,3.2,218,14.4,424.0,306.0,118.0,3600.0
2025-01-01T13:00,2025-01-01,13,2025,1,1,맑음,6.8,50,-3.0,3.2,0.0,0.0,0.0,0.0,0,1022.2,1018.1,0,0,0,0,,7.6,270,20.2,474.0,370.0,104.0,3600.0
2025-01-01T14:00,2025-01-01,14,2025,1,1,맑음,7.2,47,-3.5,2.7,0.0,0.0,0.0,0.0,0,1021.4,1017.3,0,0,0,0,,12.3,276,27.7,447.0,341.0,106.0,3600.0
2025-01-01T15:00,2025-01-01,15,2025,1,1,맑음,6.8,48,-3.5,2.1,0.0,0.0,0.0,0.0,0,1021.1,1017.0,0,0,0,0,,13.7,271,29.9,371.0,277.0,94.0,3600.0
2025-01-01T16:00,2025-01-01,16,2025,1,1,맑음,5.7,55,-2.6,1.5,0.0,0.0,0.0,0.0,0,1021.4,1017.3,0,0,0,0,,11.1,261,29.2,246.0,169.0,77.0,3600.0
2025-01-01T17:00,2025-01-01,17,2025,1,1,맑음,3.3,67,-2.2,-0.4,0.0,0.0,0.0,0.0,0,1021.7,1017.5,0,0,0,0,,8.7,256,23.4,97.0,52.0,45.0,3600.0
2025-01-01T18:00,2025-01-01,18,2025,1,1,맑음,1.4,76,-2.4,-2.3,0.0,0.0,0.0,0.0,0,1022.1,1017.9,0,0,0,0,,8.2,255,16.9,5.0,1.0,4.0,0.0
2025-01-01T19:00,2025-01-01,19,2025,1,1,맑음,0.2,84,-2.1,-3.1,0.0,0.0,0.0,0.0,0,1022.7,1018.5,0,0,0,0,,6.4,281,15.1,0.0,0.0,0.0,0.0
2025-01-01T20:00,2025-01-01,20,2025,1,1,맑음,-0.6,87,-2.5,-4.0,0.0,0.0,0.0,0.0,0,1023.3,1019.1,0,0,0,0,,6.1,330,11.2,0.0,0.0,0.0,0.0
2025-01-01T21:00,2025-01-01,21,2025,1,1,맑음,-1.4,79,-4.6,-4.9,0.0,0.0,0.0,0.0,0,1023.7,1019.5,0,0,0,0,,5.9,337,10.8,0.0,0.0,0.0,0.0
2025-01-01T22:00,2025-01-01,22,2025,1,1,맑음,-0.7,73,-4.9,-4.5,0.0,0.0,0.0,0.0,0,1024.2,1020.0,0,0,0,0,,6.8,342,12.6,0.0,0.0,0.0,0.0
2025-01-01T23:00,2025-01-01,23,2025,1,1,맑음,-1.5,71,-6.1,-5.4,0.0,0.0,0.0,0.0,0,1024.3,1020.1,0,0,0,0,,6.9,340,12.6,0.0,0.0,0.0,0.0
2025-01-02T00:00,2025-01-02,0,2025,1,2,맑음,-2.2,72,-6.6,-5.9,0.0,0.0,0.0,0.0,0,1024.7,1020.4,0,0,0,0,,5.8,338,12.2,0.0,0.0,0.0,0.0
2025-01-02T01:00,2025-01-02,1,2025,1,2,대체로 맑음,-2.9,75,-6.7,-6.5,0.0,0.0,0.0,0.0,1,1024.7,1020.4,33,0,0,33,,4.5,323,10.4,0.0,0.0,0.0,0.0
2025-01-02T02:00,2025-01-02,2,2025,1,2,흐림,-3.3,77,-6.8,-6.9,0.0,0.0,0.0,0.0,3,1025.0,1020.7,94,0,0,94,,3.9,313,7.9,0.0,0.0,0.0,0.0
2025-01-02T03:00,2025-01-02,3,2025,1,2,맑음,-3.5,78,-6.9,-7.1,0.0,0.0,0.0,0.0,0,1025.1,1020.8,0,0,0,0,,3.9,304,7.2,0.0,0.0,0.0,0.0
2025-01-02T04:00,2025-01-02,4,2025,1,2,맑음,-3.8,78,-7.1,-7.5,0.0,0.0,0.0,0.0,0,1025.1,1020.8,6,0,6,0,,4.1,304,7.6,0.0,0.0,0.0,0.0
