datetime,date,hour,year,month,day,weather_code_label,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration
2023-01-01T00:00,2023-01-01,0,2023,1,1,맑음,-1.4,82,-4.0,-5.4,0.0,0.0,0.0,0.04,0,1030.0,1025.7,7,7,0,0,,9.6,250,14.8,0.0,0.0,0.0,0.0
2023-01-01T01:00,2023-01-01,1,2023,1,1,부분적으로 흐림,-0.6,81,-3.4,-4.8,0.0,0.0,0.0,0.04,2,1029.5,1025.3,65,65,0,0,,11.0,247,16.9,0.0,0.0,0.0,0.0
2023-01-01T02:00,2023-01-01,2,2023,1,1,부분적으로 흐림,0.0,77,-3.5,-4.0,0.0,0.0,0.0,0.04,2,1028.9,1024.7,73,73,0,0,,9.7,268,19.4,0.0,0.0,0.0,0.0
2023-01-01T03:00,2023-01-01,3,2023,1,1,맑음,-3.2,89,-4.7,-7.2,0.0,0.0,0.0,0.04,0,1029.4,1025.1,8,8,0,0,,8.9,333,15.1,0.0,0.0,0.0,0.0
2023-01-01T04:00,2023-01-01,4,2023,1,1,맑음,-4.4,91,-5.7,-8.5,0.0,0.0,0.0,0.04,0,1029.4,1025.1,17,17,0,0,,8.7,343,12.2,0.0,0.0,0.0,0.0
2023-01-01T05:00,2023-01-01,5,2023,1,1,맑음,-4.5,88,-6.2,-8.4,0.0,0.0,0.0,0.04,0,1029.6,1025.3,11,11,0,0,,6.9,332,11.5,0.0,0.0,0.0,0.0
2023-01-01T06:00,2023-01-01,6,2023,1,1,맑음,-4.8,88,-6.4,-8.7,0.0,0.0,0.0,0.04,0,1029.8,1025.5,0,0,0,0,,6.3,329,10.4,0.0,0.0,0.0,0.0
2023-01-01T07:00,2023-01-01,7,2023,1,1,맑음,-5.6,89,-7.1,-9.5,0.0,0.0,0.0,0.04,0,1030.6,1026.3,0,0,0,0,,6.5,326,10.1,0.0,0.0,0.0,0.0
2023-01-01T08:00,2023-01-01,8,2023,1,1,맑음,-5.7,89,-7.2,-9.8,0.0,0.0,0.0,0.04,0,1031.3,1027.0,0,0,0,0,,7.2,323,11.2,1.0,0.0,1.0,0.0
2023-01-01T09:00,2023-01-01,9,2023,1,1,맑음,-4.7,82,-7.2,-8.8,0.0,0.0,0.0,0.04,0,1032.4,1028.1,0,0,0,0,,7.3,327,16.2,72.0,37.0,35.0,3600.0
2023-01-01T10:00,2023-01-01,10,2023,1,1,맑음,-2.4,69,-7.2,-6.4,0.0,0.0,0.0,0.04,0,1032.6,1028.3,0,0,0,0,,6.9,317,16.2,223.0,149.0,74.0,3600.0
2023-01-01T11:00,2023-01-01,11,2023,1,1,맑음,-0.3,56,-8.1,-4.9,0.0,0.0,0.0,0.04,0,1032.7,1028.4,0,0,0,0,,9.7,309,21.6,361.0,269.0,92.0,3600.0
2023-01-01T12:00,2023-01-01,12,2023,1,1,맑음,1.2,39,-11.2,-4.0,0.0,0.0,0.0,0.04,0,1032.2,1028.0,0,0,0,0,,13.0,309,26.3,455.0,352.0,103.0,3600.0
2023-01-01T13:00,2023-01-01,13,2023,1,1,맑음,1.9,30,-13.7,-4.0,0.0,0.0,0.0,0.04,0,1031.5,1027.3,0,0,0,0,,16.1,310,31.3,491.0,386.0,105.0,3600.0
2023-01-01T14:00,2023-01-01,14,2023,1,1,맑음,2.0,27,-14.9,-4.1,0.0,0.0,0.0,0.04,0,1031.1,1026.9,0,0,0,0,,17.4,310,33.1,466.0,363.0,103.0,3600.0
2023-01-01T15:00,2023-01-01,15,2023,1,1,맑음,1.5,27,-15.6,-4.8,0.0,0.0,0.0,0.04,0,1031.1,1026.9,0,0,0,0,,18.4,310,34.2,383.0,289.0,94.0,3600.0
2023-01-01T16:00,2023-01-01,16,2023,1,1,대체로 맑음,0.4,32,-14.3,-5.5,0.0,0.0,0.0,0.04,1,1031.1,1026.9,46,0,0,46,,16.6,311,33.5,252.0,175.0,77.0,3600.0
2023-01-01T17:00,2023-01-01,17,2023,1,1,부분적으로 흐림,-1.4,38,-14.1,-6.8,0.0,0.0,0.0,0.04,2,1030.9,1026.6,55,0,0,55,,12.7,317,28.4,99.0,54.0,45.0,3600.0
2023-01-01T18:00,2023-01-01,18,2023,1,1,흐림,-3.5,44,-13.9,-8.5,0.0,0.0,0.0,0.04,3,1030.9,1026.6,92,0,0,92,,10.1,305,21.6,4.0,1.0,3.0,0.0
2023-01-01T19:00,2023-01-01,19,2023,1,1,흐림,-4.6,48,-13.9,-9.7,0.0,0.0,0.0,0.04,3,1031.6,1027.3,100,0,0,100,,11.0,281,17.6,0.0,0.0,0.0,0.0
2023-01-01T20:00,2023-01-01,20,2023,1,1,흐림,-5.1,49,-14.2,-10.6,0.0,0.0,0.0,0.04,3,1032.4,1028.1,97,0,0,97,,13.5,295,22.3,0.0,0.0,0.0,0.0
2023-01-01T21:00,2023-01-01,21,2023,1,1,흐림,-4.8,53,-13.0,-10.4,0.0,0.0,0.0,0.04,3,1033.0,1028.7,95,0,0,98,,14.0,305,23.4,0.0,0.0,0.0,0.0
2023-01-01T22:00,2023-01-01,22,2023,1,1,흐림,-5.1,53,-13.1,-10.6,0.0,0.0,0.0,0.04,3,1033.4,1029.1,85,0,0,85,,14.0,312,25.2,0.0,0.0,0.0,0.0
2023-01-01T23:00,2023-01-01,23,2023,1,1,대체로 맑음,-5.8,55,-13.4,-11.1,0.0,0.0,0.0,0.04,1,1033.8,1029.5,31,0,0,31,,13.0,318,23.0,0.0,0.0,0.0,0.0
2023-01-02T00:00,2023-01-02,0,2023,1,2,대체로 맑음,-6.0,54,-13.9,-11.3,0.0,0.0,0.0,0.04,1,1033.8,1029.4,41,0,0,41,,12.3,322,21.2,0.0,0.0,0.0,0.0
