month_start,estimated_active_cars_change,base_prediction,global_calibrated_prediction,regime_calibrated_prediction
2022-01-01,0.0546219409131244,-1.147935328268987,-1.4936293971207135,-0.9980821288229111
2022-02-01,0.05597731735957144,0.497370815572462,0.3041291676226893,0.6788364678750609
2022-03-01,0.4621382884993377,0.949012413840392,0.797619424447995,1.1391557817078004
2022-04-01,1.1896376631986127,2.2242578141629092,2.191027787481714,2.438903391086724
2022-05-01,1.2492089285273187,3.1304282922453277,3.181163115297812,2.353732176003753
2022-06-01,2.344102039713505,2.7298690524904554,2.7434884572094855,2.480076903286412
2022-07-01,1.959953630724776,3.0005136525165605,3.0392107150517145,2.78042949725329
2022-08-01,1.9082447661655118,1.8703346390759759,1.804310445146775,1.5261935054726887
2022-09-01,0.89300473953184,2.090550016304781,2.0449307588696373,1.1089827004716675
2022-10-01,0.5956604143043658,1.2820586381440993,1.1615253786307929,1.4786010631743665
2022-11-01,0.3955623806951536,-0.7743859468589817,-1.0854673038238984,-0.6173554738984243
2022-12-01,0.0632075997229856,-0.7219291740999528,-1.0281499389922317,-0.5638908113542282
2023-01-01,0.04019978506600948,-1.1044856643760415,-1.4461537308496388,-0.9537976352196474
2023-02-01,0.0746662057929708,0.044908444679990875,-0.19025791379723614,0.21768061132174302
2023-03-01,0.6325245690270114,0.24738852422900956,0.0309837673097734,0.4240510865840989
2023-04-01,1.2579268172472176,1.47052695206927,1.3674569779322143,1.6706905546604485
2023-05-01,1.2187728800515976,2.7434226556229633,2.7582979236457503,1.890480779797847
2023-06-01,2.051385781400264,2.801442061968108,2.821693350125336,2.5595063064688715
2023-07-01,1.5652453885702504,2.3774809147609974,2.358448387257521,2.089007983973073
2023-08-01,1.673891681435913,1.5637355014628267,1.4693021382428313,1.1859397325127452
2023-09-01,1.106124090169369,1.9523768797382723,1.8939546377327325,0.9435874390712667
2023-10-01,0.7861773553301494,1.2579163114710044,1.1351460481263465,1.4539948725774317
2023-11-01,0.2999443552238821,-0.49193594333059076,-0.7768457656040173,-0.32947855486601724
2023-12-01,0.06199144328058782,-0.8724506412554226,-1.192618574674033,-0.7173043559520379
2024-01-01,0.04717326948804824,-1.467840006048077,-1.843176122228098,-1.3241333657592291
2024-02-01,0.07828483049879155,-0.3842487691278553,-0.6591804055975338,-0.2197223093658342
2024-03-01,0.8092854377163615,1.311505880831419,1.193701173358943,1.5086140969606203
2024-04-01,1.1446998666791262,1.266778806039835,1.1448297325736116,1.4630276486423823
2024-05-01,0.9124693850315051,2.6342809773526903,2.63904328668029,1.7598365977538113
2024-06-01,2.298960145916413,2.738445867430386,2.752859991239305,2.4895951741661326
2024-07-01,1.1623783734867668,2.3788701991895023,2.359966401390974,2.090549766745827
2024-08-01,1.682756664950316,1.8417387561743503,1.7730648963501427,1.494458722641448
2024-09-01,0.7072314530472982,1.9448501482949363,1.8857304868855305,0.9345778316649682
2024-10-01,0.7926326410193821,0.8106544382340308,0.646441337270765,0.9981394345895163
2024-11-01,0.4718698126192061,-0.42084427726329615,-0.6991668168972696,-0.2570209533766396
2024-12-01,0.05279533824678399,-1.1726453588685144,-1.5206290344293392,-1.0232669310510103
2025-01-01,0.04308696557972702,-1.1448385623031552,-1.490245687919287,-0.9949258624604698
2025-02-01,0.049370277312607534,-0.06640635441056278,-0.3118870307836361,0.1042270407620283
2025-03-01,0.571687674286215,1.4617750384212962,1.357894120723279,1.6617704841872922
2025-04-01,0.805661013970853,1.7561366419316768,1.6795309758600603,1.9617878693578668
2025-05-01,1.051311483598573,2.933005372432865,2.965447185288067,2.117414059181562
2025-06-01,2.1381673079344528,2.147604529749872,2.107271886438577,1.833898631992059
2025-07-01,1.5418833323708703,1.4930570194755621,1.3920746588395143,1.1075030469093063
2025-08-01,2.2068928413041187,1.853979301715795,1.7864396385928754,1.508042882844859
2025-09-01,1.2234291027722908,1.291861574221029,1.1722366449552384,0.15294097674387339
2025-10-01,0.6734350974463883,0.9775130174480106,0.8287608654665793,1.16820398795539
2025-11-01,0.4964678839430634,-0.663468090688026,-0.9642719100908231,-0.5043064730087332
2025-12-01,0.053666139821345535,-1.3087407257183523,-1.6693348617867605,-1.1619771962798737
