model_name,alpha,rmse,mae,r2
weighted_core,0.001,13.152876774000985,6.990441847081533,0.7593528819160924
weighted_extended,100.0,13.135974327524353,7.500316459422381,0.7599709841858214
weather_only_extended,100.0,12.994075339909275,7.123941670906315,0.7651287152654431
weather_only_simple_forecast,0.001,15.485561278774542,9.47927280497903,0.666425330340969
weather_only_extended_final,0.001,15.542517419655342,9.555929250741086,0.6639670319195665
