model_name,alpha,rmse,mae,r2
weighted_core,0.001,12.424876392960458,6.940526873186226,0.7746446776710888
weighted_core,0.01,12.424878116854254,6.940527891166934,0.7746446151370794
weighted_core,0.1,12.42489535621464,6.940538070906005,0.774643989781184
weighted_core,1.0,12.425067792055184,6.940639985836683,0.774637734642355
weighted_core,10.0,12.42679636780558,6.9416629109199635,0.7745750254723168
weighted_core,100.0,12.444497590118855,6.9523150269224825,0.7739323595043429
weighted_core,1000.0,12.657295338345753,7.0893948032909835,0.7661348585542856
weighted_extended,0.001,11.979708762937763,7.087607716661382,0.7905037826078791
weighted_extended,0.01,11.97970642566621,7.087601206167612,0.7905038643543575
weighted_extended,0.1,11.9796830626364,7.087536108013323,0.7905046814795048
weighted_extended,1.0,11.979450399385778,7.086886386564773,0.7905128188214066
weighted_extended,10.0,11.977218960997474,7.080546683279426,0.7905908548222529
weighted_extended,100.0,11.963098905850117,7.027610346578567,0.7910843125686399
weighted_extended,1000.0,12.105968937450724,6.9488155515014265,0.7860645395776239
