removed_feature,alpha,rmse,mae,r2,delta_rmse,delta_mae,delta_r2
weather_code,0.001,15.477277614587175,9.488485035932387,0.6667821119174029,-0.008283664187366924,0.009212230953357547,0.0003567815764339288
wind_gusts_10m,0.001,15.484205020947805,9.4789844258514,0.6664837581159437,-0.001356257826737206,-0.0002883791276282466,5.842777497477858e-05
precipitation,0.001,15.485806789589503,9.479184904409331,0.666414753154037,0.0002455108149614915,-8.790056969765203e-05,-1.0577186931981508e-05
snowfall,0.001,15.486662504134227,9.48833103551214,0.6663778856355007,0.001101225359684932,0.00905823053311039,-4.744470546824697e-05
wind_direction_10m,0.001,15.49108782011293,9.488524065884267,0.6661871932624326,0.005526541338388924,0.009251260905237757,-0.00023813707853637123
cloud_cover,0.001,15.492478301555662,9.48782642809215,0.6661272644375431,0.0069170227811206075,0.008553623113121134,-0.00029806590342584816
relative_humidity_2m,0.001,15.506452585473465,9.525257289375945,0.6655246834277353,0.020891306698922918,0.04598448439691616,-0.0009006469132336603
temperature_2m,0.001,15.508776575348037,9.514508801099328,0.6654244186516443,0.02321529657349508,0.03523599612029926,-0.0010009116893247016
