calibration_type,regime,coef,intercept
global,all,1.0926589993434348,-0.31910337336446004
by_regime,transition,1.197014597123145,-1.8579149134149124
by_regime,peak_summer,1.1097675473218638,-0.7325909061410403
by_regime,regular,1.0192137207867678,0.22921241109960447
