model_name,feature,alpha,coefficient,importance_abs,importance_ratio
weighted_core,pattern_prior,0.001,1.5190644125849573,1.5190644125849573,0.03146316390724982
weighted_core,month_weight,0.001,-12.112178801648565,12.112178801648565,0.2508698536763807
weighted_core,hour_weight,0.001,25.963341787198736,25.963341787198736,0.5377578932551655
weighted_core,corrected_pattern_prior,0.001,0.06965688833787992,0.06965688833787992,0.0014427473100461054
weighted_core,day_type_offday,0.001,-8.616484646919035,8.616484646919035,0.17846634185115778
weighted_extended,pattern_prior,100.0,0.543003364659347,0.543003364659347,0.009477515680317577
weighted_extended,month_weight,100.0,-9.423862952814474,9.423862952814474,0.16448297509260318
weighted_extended,hour_weight,100.0,-3.619102856901496,3.619102856901496,0.06316738773153686
weighted_extended,corrected_pattern_prior,100.0,0.5670509419710734,0.5670509419710734,0.009897239214053905
weighted_extended,day_type_offday,100.0,-5.840566904290073,5.840566904290073,0.1019405551051777
weighted_extended,hour_sin,100.0,5.848515842674023,5.848515842674023,0.10207929492352676
weighted_extended,hour_cos,100.0,4.628817132147025,4.628817132147025,0.08079081973786241
weighted_extended,month_sin,100.0,-2.438765800578714,2.438765800578714,0.04256592614321502
weighted_extended,month_cos,100.0,1.4387528346216905,1.4387528346216905,0.025111819627089884
weighted_extended,is_holiday,100.0,-1.942699184126928,1.942699184126928,0.03390763884355278
weighted_extended,bus_alightings,100.0,2.6418670132838967e-05,2.6418670132838967e-05,4.611083038024947e-07
weighted_extended,subway_boardings,100.0,-4.43464303614193e-05,4.43464303614193e-05,7.740172832633076e-07
weighted_extended,subway_alightings,100.0,1.0907920322975391e-05,1.0907920322975391e-05,1.9038553465595827e-07
weighted_extended,bike_returns,100.0,-0.00515024006256909,0.00515024006256909,8.989167310412562e-05
weighted_extended,event_count,100.0,0.0,0.0,0.0
weighted_extended,free_event_count,100.0,0.0,0.0,0.0
weighted_extended,paid_event_count,100.0,0.0,0.0,0.0
weighted_extended,evening_event_count,100.0,0.0,0.0,0.0
weighted_extended,bus_feature_available,100.0,-2.467337820848943,2.467337820848943,0.04306461876236541
weighted_extended,subway_feature_available,100.0,-3.199861380487798,3.199861380487798,0.05584999722320547
weighted_extended,bike_feature_available,100.0,2.985299425530984,2.985299425530984,0.052105058563794916
weighted_extended,culture_feature_available,100.0,0.0,0.0,0.0
weighted_extended,temperature_2m,100.0,-0.2821957612867527,0.2821957612867527,0.004925411013230482
weighted_extended,relative_humidity_2m,100.0,0.07916288936679647,0.07916288936679647,0.0013816995880748168
weighted_extended,precipitation,100.0,0.1975326557646437,0.1975326557646437,0.003447711311252479
weighted_extended,snowfall,100.0,-6.432603423540836,6.432603423540836,0.11227388959204561
weighted_extended,snow_depth,100.0,-5.142183923045891,5.142183923045891,0.08975106220993374
weighted_extended,weather_code,100.0,0.014002687513782424,0.014002687513782424,0.0002444012304817229
weighted_extended,surface_pressure,100.0,-0.0156104844782587,0.0156104844782587,0.0002724635261014755
weighted_extended,cloud_cover,100.0,-0.008066198981978927,0.008066198981978927,0.00014078647078039067
weighted_extended,cloud_cover_low,100.0,-0.001076830269241896,0.001076830269241896,1.879486652570412e-05
weighted_extended,cloud_cover_mid,100.0,0.02930810312268192,0.02930810312268192,0.0005115401210816441
weighted_extended,cloud_cover_high,100.0,0.0006806491386093452,0.0006806491386093452,1.1879968530234926e-05
weighted_extended,wind_gusts_10m,100.0,0.024130310134551983,0.024130310134551983,0.0004211675425153481
weighted_extended,wind_direction_10m,100.0,-0.007756320623135378,0.007756320623135378,0.00013537789102550598
weighted_extended,shortwave_radiation,100.0,0.050351210832798664,0.050351210832798664,0.0008788240022972964
weighted_extended,diffuse_radiation,100.0,0.05828722819668431,0.05828722819668431,0.0010173382987099606
weighted_extended,sunshine_duration,100.0,-0.0020332748053312846,0.0020332748053312846,3.548853488598767e-05
weighted_extended,weather_feature_available,100.0,0.0,0.0,0.0
