weight_type,key,value
month_weight,1,0.5977526105534006
month_weight,2,0.6263682172255778
month_weight,3,0.9486666606376081
month_weight,4,1.2340434749090317
month_weight,5,1.30308750153485
month_weight,6,1.2762369941624103
month_weight,7,1.1185964793727319
month_weight,8,1.1354702902089786
month_weight,9,1.158752053026814
month_weight,10,1.0325394221677973
month_weight,11,0.9088359090666158
month_weight,12,0.659650387134183
hour_weight_raw,6,0.39991175551081526
hour_weight_raw,7,0.40000581135697877
hour_weight_raw,8,0.5810849384022574
hour_weight_raw,9,0.8268998247183853
hour_weight_raw,10,1.1009994222181105
hour_weight_raw,11,1.3730772398283708
hour_weight_raw,12,1.608143022886274
hour_weight_raw,13,1.7615324146358566
hour_weight_raw,14,1.6912489556041281
hour_weight_raw,15,1.1095444454359886
hour_weight_raw,16,0.9445608385944566
hour_weight_raw,17,0.8861416186869111
hour_weight_raw,18,0.8861416186869111
hour_weight_raw,19,0.8861416186869111
hour_weight_raw,20,0.8861416186869111
hour_weight_raw,21,0.8861416186869111
hour_weight_raw,22,0.8861416186869111
hour_weight_raw,23,0.8861416186869111
hour_weight,6,0.39991175551081526
hour_weight,7,0.40000581135697877
hour_weight,8,0.5810849384022574
hour_weight,9,0.8268998247183853
hour_weight,10,1.1009994222181105
hour_weight,11,1.3730772398283708
hour_weight,12,1.608143022886274
hour_weight,13,1.7615324146358566
hour_weight,14,1.6912489556041281
hour_weight,15,1.1095444454359886
hour_weight,16,0.9445608385944566
hour_weight,17,0.8861416186869111
hour_weight,18,0.8861416186869111
hour_weight,19,0.8861416186869111
hour_weight,20,0.8861416186869111
hour_weight,21,0.8861416186869111
hour_weight,22,0.8861416186869111
hour_weight,23,0.8861416186869111
