month_start,estimated_active_cars_change,weighted_core_prediction,weighted_extended_prediction,weather_only_extended_prediction
2022-01-01,0.0546219409131244,1.3916175329249232,-1.1775119954460622,-1.147935328268987
2022-02-01,0.05597731735957144,1.6223890039302762,0.5716947941009946,0.497370815572462
2022-03-01,0.4621382884993377,1.837323502999511,0.705852309132179,0.949012413840392
2022-04-01,1.1896376631986127,2.3687602886837014,1.8943702092222712,2.2242578141629092
2022-05-01,1.2492089285273187,2.8152805483584937,2.5951408719691087,3.1304282922453277
2022-06-01,2.344102039713505,1.9834425663501227,2.60321004876833,2.7298690524904554
2022-07-01,1.959953630724776,1.5836200440100154,2.8738804600880252,3.0005136525165605
2022-08-01,1.9082447661655118,1.502628361346881,2.2248521299992237,1.8703346390759759
2022-09-01,0.89300473953184,3.0516781565940327,2.7083088207502946,2.090550016304781
2022-10-01,0.5956604143043658,2.847800799409684,1.5285891315557512,1.2820586381440993
2022-11-01,0.3955623806951536,1.7001421915469392,-0.4102750884868881,-0.7743859468589817
2022-12-01,0.0632075997229856,1.510709157845973,-0.9855019696989143,-0.7219291740999528
2023-01-01,0.04019978506600948,1.3382337632781525,-0.19173321320389916,-1.1044856643760415
2023-02-01,0.0746662057929708,1.3769778910222132,0.4246734287154452,0.044908444679990875
2023-03-01,0.6325245690270114,1.673070235925907,0.09906977394223775,0.24738852422900956
2023-04-01,1.2579268172472176,2.6589267093239384,1.3557383681698627,1.47052695206927
2023-05-01,1.2187728800515976,2.8152805483584937,2.357429990596013,2.7434226556229633
2023-06-01,2.051385781400264,1.666066388148762,2.7150900367612505,2.801442061968108
2023-07-01,1.5652453885702504,1.5836200440100154,1.7413759555733463,2.3774809147609974
2023-08-01,1.673891681435913,1.502628361346881,1.2575515239663144,1.5637355014628267
2023-09-01,1.106124090169369,3.40352819951439,1.929025975404664,1.9523768797382723
2023-10-01,0.7861773553301494,3.106216091920575,1.0552287854232636,1.2579163114710044
2023-11-01,0.2999443552238821,1.7001421915469392,-0.7625395471288668,-0.49193594333059076
2023-12-01,0.06199144328058782,1.7773178488444752,-1.5846953664656518,-0.8724506412554226
2024-01-01,0.04717326948804824,1.231466223984611,-0.6845522267426002,-1.467840006048077
2024-02-01,0.07828483049879155,1.5800767430840583,-0.1180478484678489,-0.3842487691278553
2024-03-01,0.8092854377163615,2.0015767700731146,1.139803566803916,1.311505880831419
2024-04-01,1.1446998666791262,2.3687602886837014,0.7352658043482001,1.266778806039835
2024-05-01,0.9124693850315051,2.8152805483584937,2.1240239866442074,2.6342809773526903
2024-06-01,2.298960145916413,2.0469178019903946,2.5958011572690234,2.738445867430386
2024-07-01,1.1623783734867668,1.3363493328357536,2.9496701129954706,2.3788701991895023
2024-08-01,1.682756664950316,1.6343923626942805,2.672944738437356,1.8417387561743503
2024-09-01,0.7072314530472982,3.7553782424347473,2.941865157493331,1.9448501482949363
2024-10-01,0.7926326410193821,2.8279226999857694,1.433744941475746,0.8106544382340308
2024-11-01,0.4718698126192061,1.9036507086076067,-0.7724359569210629,-0.42084427726329615
2024-12-01,0.05279533824678399,1.644013503345224,-1.825021963804933,-1.1726453588685144
2025-01-01,0.04308696557972702,1.5517688418652353,-2.1371326593379565,-1.1448385623031552
2025-02-01,0.049370277312607534,1.3769778910222132,-1.392673912642581,-0.06640635441056278
2025-03-01,0.571687674286215,2.0015767700731146,-0.055244787713637396,1.4617750384212962
2025-04-01,0.805661013970853,2.0785938680434644,0.41245607797758865,1.7561366419316768
2025-05-01,1.051311483598573,3.1361046909896464,1.6871321801854557,2.933005372432865
2025-06-01,2.1381673079344528,2.1675207497069113,1.288125038572037,2.147604529749872
2025-07-01,1.5418833323708703,1.3363493328357536,0.9201316040636007,1.4930570194755621
2025-08-01,2.2068928413041187,1.7661563640416797,1.4262768083645847,1.853979301715795
2025-09-01,1.2234291027722908,2.3479780707533187,1.2301496104431555,1.291861574221029
2025-10-01,0.6734350974463883,3.3845094838553806,0.7869418903698959,0.9775130174480106
2025-11-01,0.4964678839430634,2.107159225668274,-0.9781314685553525,-0.663468090688026
2025-12-01,0.053666139821345535,1.510709157845973,-2.0638006726289007,-1.3087407257183523
