date,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,daily_parking_count,daily_usage_minutes,avg_stay_minutes
2022-11-20,2022,11,20,Sunday,True,False,,False,True,False,2279,159486,69.98
2022-11-21,2022,11,21,Monday,False,False,,False,False,False,1629,99020,60.79
2022-11-22,2022,11,22,Tuesday,False,False,,False,False,False,1472,98547,66.95
2022-11-23,2022,11,23,Wednesday,False,False,,False,False,False,1618,109393,67.61
2022-11-24,2022,11,24,Thursday,False,False,,False,False,False,1427,95878,67.19
2022-11-25,2022,11,25,Friday,False,False,,False,False,False,1636,114474,69.97
2022-11-26,2022,11,26,Saturday,True,False,,False,True,False,1853,130323,70.33
2022-11-27,2022,11,27,Sunday,True,False,,False,True,False,1537,121089,78.78
2022-11-28,2022,11,28,Monday,False,False,,False,False,False,1127,74573,66.17
2022-11-29,2022,11,29,Tuesday,False,False,,False,False,False,1212,82132,67.77
2022-11-30,2022,11,30,Wednesday,False,False,,False,False,False,1303,70319,53.97
2022-12-01,2022,12,1,Thursday,False,False,,False,False,False,1202,62664,52.13
2022-12-02,2022,12,2,Friday,False,False,,False,False,False,1248,72618,58.19
2022-12-03,2022,12,3,Saturday,True,False,,False,True,False,1220,71307,58.45
2022-12-04,2022,12,4,Sunday,True,False,,False,True,False,1035,66030,63.8
2022-12-05,2022,12,5,Monday,False,False,,False,False,False,1301,82802,63.64
2022-12-06,2022,12,6,Tuesday,False,False,,False,False,False,1162,71797,61.79
2022-12-07,2022,12,7,Wednesday,False,False,,False,False,False,1340,73714,55.01
2022-12-08,2022,12,8,Thursday,False,False,,False,False,False,1416,72008,50.85
2022-12-09,2022,12,9,Friday,False,False,,False,False,False,1378,83378,60.51
2022-12-10,2022,12,10,Saturday,True,False,,False,True,False,1360,94138,69.22
2022-12-11,2022,12,11,Sunday,True,False,,False,True,False,1292,90211,69.82
2022-12-12,2022,12,12,Monday,False,False,,False,False,False,1212,67109,55.37
2022-12-13,2022,12,13,Tuesday,False,False,,False,False,False,1119,66899,59.78
2022-12-14,2022,12,14,Wednesday,False,False,,False,False,False,1081,72670,67.22
2022-12-15,2022,12,15,Thursday,False,False,,False,False,False,955,65918,69.02
2022-12-16,2022,12,16,Friday,False,False,,False,False,False,1256,80156,63.82
2022-12-17,2022,12,17,Saturday,True,False,,False,True,False,1141,64470,56.5
2022-12-18,2022,12,18,Sunday,True,False,,False,True,False,823,45852,55.71
2022-12-19,2022,12,19,Monday,False,False,,False,False,False,1151,73400,63.77
2022-12-20,2022,12,20,Tuesday,False,False,,False,False,False,1465,75597,51.6
2022-12-21,2022,12,21,Wednesday,False,False,,False,False,False,844,46746,55.39
2022-12-22,2022,12,22,Thursday,False,False,,False,False,False,1133,62461,55.13
2022-12-23,2022,12,23,Friday,False,False,,False,False,False,1088,49520,45.51
2022-12-24,2022,12,24,Saturday,True,False,,False,True,False,1038,47279,45.55
2022-12-25,2022,12,25,Sunday,True,True,크리스마스,False,True,False,1013,54829,54.13
2022-12-26,2022,12,26,Monday,False,False,,False,False,False,1135,68457,60.31
2022-12-27,2022,12,27,Tuesday,False,False,,False,False,False,1212,73003,60.23
2022-12-28,2022,12,28,Wednesday,False,False,,False,False,False,1155,62302,53.94
2022-12-29,2022,12,29,Thursday,False,False,,False,False,False,1260,75624,60.02
2022-12-30,2022,12,30,Friday,False,False,,False,False,False,1272,69023,54.26
2022-12-31,2022,12,31,Saturday,True,False,,False,True,False,1224,65183,53.25
2023-01-01,2023,1,1,Sunday,True,True,신정,False,True,False,1216,49877,41.02
2023-01-02,2023,1,2,Monday,False,False,,False,False,False,1058,47352,44.76
2023-01-03,2023,1,3,Tuesday,False,False,,False,False,False,1216,56935,46.82
2023-01-04,2023,1,4,Wednesday,False,False,,False,False,False,1160,61072,52.65
2023-01-05,2023,1,5,Thursday,False,False,,False,False,False,1068,60619,56.76
2023-01-06,2023,1,6,Friday,False,False,,False,False,False,1233,59503,48.26
2023-01-07,2023,1,7,Saturday,True,False,,False,True,False,1172,74390,63.47
2023-01-08,2023,1,8,Sunday,True,False,,False,True,False,1039,60287,58.02
2023-01-09,2023,1,9,Monday,False,False,,False,False,False,1189,53376,44.89
2023-01-10,2023,1,10,Tuesday,False,False,,False,False,False,1253,61163,48.81
2023-01-11,2023,1,11,Wednesday,False,False,,False,False,False,1328,61962,46.66
2023-01-12,2023,1,12,Thursday,False,False,,False,False,False,1383,67520,48.82
2023-01-13,2023,1,13,Friday,False,False,,False,False,False,675,21560,31.94
2023-01-14,2023,1,14,Saturday,True,False,,False,True,False,246,3364,13.67
2023-01-16,2023,1,16,Monday,False,False,,False,False,False,513,19863,38.72
2023-01-17,2023,1,17,Tuesday,False,False,,False,False,False,1203,64788,53.86
2023-01-18,2023,1,18,Wednesday,False,False,,False,False,False,1394,58207,41.76
2023-01-19,2023,1,19,Thursday,False,False,,False,False,False,1344,59891,44.56
2023-01-20,2023,1,20,Friday,False,False,,False,False,False,1216,46090,37.9
2023-01-21,2023,1,21,Saturday,True,True,설날,False,True,True,960,41328,43.05
2023-01-22,2023,1,22,Sunday,True,True,설날,False,True,True,946,37083,39.2
2023-01-23,2023,1,23,Monday,False,True,설날,False,True,True,1064,57509,54.05
2023-01-24,2023,1,24,Tuesday,False,True,설날연휴,False,True,True,701,23336,33.29
2023-01-25,2023,1,25,Wednesday,False,False,,False,False,False,1167,35610,30.51
2023-01-26,2023,1,26,Thursday,False,False,,False,False,False,906,44980,49.65
2023-01-27,2023,1,27,Friday,False,False,,False,False,False,1110,48118,43.35
2023-01-28,2023,1,28,Saturday,True,False,,False,True,False,1123,45733,40.72
2023-01-29,2023,1,29,Sunday,True,False,,False,True,False,1019,47418,46.53
2023-01-30,2023,1,30,Monday,False,False,,False,False,False,1290,53376,41.38
2023-01-31,2023,1,31,Tuesday,False,False,,False,False,False,1238,52047,42.04
2023-02-01,2023,2,1,Wednesday,False,False,,False,False,False,1233,41348,33.53
2023-02-02,2023,2,2,Thursday,False,False,,False,False,False,1173,54035,46.07
2023-02-03,2023,2,3,Friday,False,False,,False,False,False,1325,55319,41.75
2023-02-04,2023,2,4,Saturday,True,False,,False,True,False,1602,86733,54.14
2023-02-05,2023,2,5,Sunday,True,False,,False,True,False,1354,80766,59.65
2023-02-06,2023,2,6,Monday,False,False,,False,False,False,701,25817,36.83
2023-02-07,2023,2,7,Tuesday,False,False,,False,False,False,1293,60094,46.48
2023-02-08,2023,2,8,Wednesday,False,False,,False,False,False,1493,70751,47.39
2023-02-09,2023,2,9,Thursday,False,False,,False,False,False,1353,60013,44.36
2023-02-10,2023,2,10,Friday,False,False,,False,False,False,1504,68080,45.27
2023-02-11,2023,2,11,Saturday,True,False,,False,True,False,1643,94753,57.67
